type	name	value	zone	address	bytes	access	other
Factory	DMA1_CCR5	0x0	Memory	0x40020058	4	readWrite	strong	
Factory	DMA1_CNDTR5	0x0	Memory	0x4002005c	4	readWrite	strong	
Factory	DMA1_CPAR5	0x0	Memory	0x40020060	4	readWrite	strong	
Factory	DMA1_CMAR5	0x0	Memory	0x40020064	4	readWrite	strong	
Factory	DMA1_CCR6	0x0	Memory	0x4002006c	4	readWrite	strong	
Factory	DMA1_CNDTR6	0x0	Memory	0x40020070	4	readWrite	strong	
Factory	DMA1_CPAR6	0x0	Memory	0x40020074	4	readWrite	strong	
Factory	DMA1_CMAR6	0x0	Memory	0x40020078	4	readWrite	strong	
Factory	DMA1_CCR7	0x0	Memory	0x40020080	4	readWrite	strong	
Factory	DMA1_CNDTR7	0x0	Memory	0x40020084	4	readWrite	strong	
Factory	DMA1_CPAR7	0x0	Memory	0x40020088	4	readWrite	strong	
Factory	DMA1_CMAR7	0x0	Memory	0x4002008c	4	readWrite	strong	
Factory	TIM2_CR1	0x0	Memory	0x40000000	4	readWrite	strong	
Factory	TIM2_CR2	0x0	Memory	0x40000004	4	readWrite	strong	
Factory	TIM2_SMCR	0x0	Memory	0x40000008	4	readWrite	strong	
Factory	TIM2_DIER	0x0	Memory	0x4000000c	4	readWrite	strong	
Factory	TIM2_SR	0x0	Memory	0x40000010	4	readWrite	strong	
Factory	TIM2_EGR	0x0	Memory	0x40000014	4	writeOnly	strong	
Factory	TIM2_CCMR1_Output	0x0	Memory	0x40000018	4	readWrite	strong	
Factory	TIM2_CCMR1_Input	0x0	Memory	0x40000018	4	readWrite	strong	
Factory	TIM2_CCMR2_Output	0x0	Memory	0x4000001c	4	readWrite	strong	
Factory	TIM2_CCMR2_Input	0x0	Memory	0x4000001c	4	readWrite	strong	
Factory	TIM2_CCER	0x0	Memory	0x40000020	4	readWrite	strong	
Factory	TIM2_CNT	0x0	Memory	0x40000024	4	readWrite	strong	
Factory	TIM2_PSC	0x0	Memory	0x40000028	4	readWrite	strong	
Factory	TIM2_ARR	0x0	Memory	0x4000002c	4	readWrite	strong	
Factory	TIM2_CCR1	0x0	Memory	0x40000034	4	readWrite	strong	
Factory	TIM2_CCR2	0x0	Memory	0x40000038	4	readWrite	strong	
Factory	TIM2_CCR3	0x0	Memory	0x4000003c	4	readWrite	strong	
Factory	TIM2_CCR4	0x0	Memory	0x40000040	4	readWrite	strong	
Factory	TIM2_DCR	0x0	Memory	0x40000048	4	readWrite	strong	
Factory	TIM2_DMAR	0x0	Memory	0x4000004c	4	readWrite	strong	
Factory	TIM15_CR1	0x0	Memory	0x40014000	4	readWrite	strong	
Factory	TIM15_CR2	0x0	Memory	0x40014004	4	readWrite	strong	
Factory	TIM15_SMCR	0x0	Memory	0x40014008	4	readWrite	strong	
Factory	TIM15_DIER	0x0	Memory	0x4001400c	4	readWrite	strong	
Factory	TIM15_SR	0x0	Memory	0x40014010	4	readWrite	strong	
Factory	TIM15_EGR	0x0	Memory	0x40014014	4	writeOnly	strong	
Factory	TIM15_CCMR1_Output	0x0	Memory	0x40014018	4	readWrite	strong	
Factory	TIM15_CCMR1_Input	0x0	Memory	0x40014018	4	readWrite	strong	
Factory	TIM15_CCER	0x0	Memory	0x40014020	4	readWrite	strong	
Factory	TIM15_CNT	0x0	Memory	0x40014024	4	readWrite	strong	
Factory	TIM15_PSC	0x0	Memory	0x40014028	4	readWrite	strong	
Factory	TIM15_ARR	0x0	Memory	0x4001402c	4	readWrite	strong	
Factory	TIM15_RCR	0x0	Memory	0x40014030	4	readWrite	strong	
Factory	TIM15_CCR1	0x0	Memory	0x40014034	4	readWrite	strong	
Factory	TIM15_CCR2	0x0	Memory	0x40014038	4	readWrite	strong	
Factory	TIM15_BDTR	0x0	Memory	0x40014044	4	readWrite	strong	
Factory	TIM15_DCR	0x0	Memory	0x40014048	4	readWrite	strong	
Factory	TIM15_DMAR	0x0	Memory	0x4001404c	4	readWrite	strong	
Factory	TIM16_CR1	0x0	Memory	0x40014400	4	readWrite	strong	
Factory	TIM16_CR2	0x0	Memory	0x40014404	4	readWrite	strong	
Factory	TIM16_DIER	0x0	Memory	0x4001440c	4	readWrite	strong	
Factory	TIM16_SR	0x0	Memory	0x40014410	4	readWrite	strong	
Factory	TIM16_EGR	0x0	Memory	0x40014414	4	writeOnly	strong	
Factory	TIM16_CCMR1_Output	0x0	Memory	0x40014418	4	readWrite	strong	
Factory	TIM16_CCMR1_Input	0x0	Memory	0x40014418	4	readWrite	strong	
Factory	TIM16_CCER	0x0	Memory	0x40014420	4	readWrite	strong	
Factory	TIM16_CNT	0x0	Memory	0x40014424	4	readWrite	strong	
Factory	TIM16_PSC	0x0	Memory	0x40014428	4	readWrite	strong	
